time,hour,solar_kwh,consumption_kwh,surplus_kwh
2026-08-22 00:00:00,0,0.0,1.09,-1.09
2026-08-22 01:00:00,1,0.0,1.09,-1.09
2026-08-22 02:00:00,2,0.0,1.06,-1.06
2026-08-22 03:00:00,3,0.0,1.08,-1.08
2026-08-22 04:00:00,4,0.0,1.02,-1.02
2026-08-22 05:00:00,5,0.0,0.9,-0.9
2026-08-22 06:00:00,6,0.0,2.18,-2.18
2026-08-22 07:00:00,7,1.26,2.58,-1.32
2026-08-22 08:00:00,8,2.05,2.46,-0.41
2026-08-22 09:00:00,9,3.48,2.15,1.33
2026-08-22 10:00:00,10,3.79,1.0,2.79
2026-08-22 11:00:00,11,4.27,0.81,3.46
2026-08-22 12:00:00,12,4.81,1.17,3.64
2026-08-22 13:00:00,13,4.2,1.08,3.12
2026-08-22 14:00:00,14,4.23,1.08,3.15
2026-08-22 15:00:00,15,2.64,1.03,1.61
2026-08-22 16:00:00,16,2.21,0.97,1.24
2026-08-22 17:00:00,17,1.19,1.17,0.02
2026-08-22 18:00:00,18,0.0,2.45,-2.45
2026-08-22 19:00:00,19,0.0,2.11,-2.11
2026-08-22 20:00:00,20,0.0,2.98,-2.98
2026-08-22 21:00:00,21,0.0,2.84,-2.84
2026-08-22 22:00:00,22,0.0,2.12,-2.12
2026-08-22 23:00:00,23,0.0,1.17,-1.17
2026-08-23 00:00:00,0,0.0,1.15,-1.15
2026-08-23 01:00:00,1,0.0,1.01,-1.01
2026-08-23 02:00:00,2,0.0,1.04,-1.04
2026-08-23 03:00:00,3,0.0,0.96,-0.96
2026-08-23 04:00:00,4,0.0,0.82,-0.82
2026-08-23 05:00:00,5,0.0,0.93,-0.93
2026-08-23 06:00:00,6,0.0,2.0,-2.0
2026-08-23 07:00:00,7,1.04,2.4,-1.36
2026-08-23 08:00:00,8,2.15,2.92,-0.77
2026-08-23 09:00:00,9,2.84,2.35,0.5
2026-08-23 10:00:00,10,3.99,0.98,3.01
2026-08-23 11:00:00,11,3.71,0.98,2.73
2026-08-23 12:00:00,12,3.71,0.87,2.84
2026-08-23 13:00:00,13,4.1,0.97,3.14
2026-08-23 14:00:00,14,4.22,0.94,3.27
2026-08-23 15:00:00,15,3.09,1.05,2.04
2026-08-23 16:00:00,16,1.76,1.07,0.69
2026-08-23 17:00:00,17,0.97,1.18,-0.21
2026-08-23 18:00:00,18,0.0,2.41,-2.41
2026-08-23 19:00:00,19,0.0,2.09,-2.09
2026-08-23 20:00:00,20,0.0,3.0,-3.0
2026-08-23 21:00:00,21,0.0,2.5,-2.5
2026-08-23 22:00:00,22,0.0,2.6,-2.6
2026-08-23 23:00:00,23,0.0,0.83,-0.83
2026-08-24 00:00:00,0,0.0,1.1,-1.1
2026-08-24 01:00:00,1,0.0,0.88,-0.88
2026-08-24 02:00:00,2,0.0,1.16,-1.16
2026-08-24 03:00:00,3,0.0,0.88,-0.88
2026-08-24 04:00:00,4,0.0,0.88,-0.88
2026-08-24 05:00:00,5,0.0,0.81,-0.81
2026-08-24 06:00:00,6,0.0,2.56,-2.56
2026-08-24 07:00:00,7,0.93,2.78,-1.84
2026-08-24 08:00:00,8,2.09,2.52,-0.43
2026-08-24 09:00:00,9,2.94,2.4,0.54
2026-08-24 10:00:00,10,3.76,0.86,2.9
2026-08-24 11:00:00,11,3.64,1.14,2.5
2026-08-24 12:00:00,12,4.92,0.95,3.97
2026-08-24 13:00:00,13,3.77,1.06,2.72
2026-08-24 14:00:00,14,3.56,0.81,2.75
2026-08-24 15:00:00,15,2.64,1.09,1.55
2026-08-24 16:00:00,16,2.24,0.81,1.43
2026-08-24 17:00:00,17,0.99,0.89,0.1
2026-08-24 18:00:00,18,0.0,2.02,-2.02
2026-08-24 19:00:00,19,0.0,2.1,-2.1
2026-08-24 20:00:00,20,0.0,2.8,-2.8
2026-08-24 21:00:00,21,0.0,2.18,-2.18
2026-08-24 22:00:00,22,0.0,2.65,-2.65
2026-08-24 23:00:00,23,0.0,0.9,-0.9
2026-08-25 00:00:00,0,0.0,0.84,-0.84
2026-08-25 01:00:00,1,0.0,0.9,-0.9
2026-08-25 02:00:00,2,0.0,1.09,-1.09
2026-08-25 03:00:00,3,0.0,1.14,-1.14
2026-08-25 04:00:00,4,0.0,1.13,-1.13
2026-08-25 05:00:00,5,0.0,0.96,-0.96
2026-08-25 06:00:00,6,0.0,2.2,-2.2
2026-08-25 07:00:00,7,1.02,2.9,-1.88
2026-08-25 08:00:00,8,1.76,2.09,-0.33
2026-08-25 09:00:00,9,2.7,2.03,0.67
2026-08-25 10:00:00,10,3.27,1.03,2.23
2026-08-25 11:00:00,11,3.99,1.16,2.83
2026-08-25 12:00:00,12,4.73,0.94,3.79
2026-08-25 13:00:00,13,3.76,0.95,2.8
2026-08-25 14:00:00,14,3.8,0.91,2.89
2026-08-25 15:00:00,15,3.14,0.96,2.17
2026-08-25 16:00:00,16,2.16,0.97,1.19
2026-08-25 17:00:00,17,1.02,1.18,-0.16
2026-08-25 18:00:00,18,0.0,2.14,-2.14
2026-08-25 19:00:00,19,0.0,2.87,-2.87
2026-08-25 20:00:00,20,0.0,2.49,-2.49
2026-08-25 21:00:00,21,0.0,2.89,-2.89
2026-08-25 22:00:00,22,0.0,2.8,-2.8
2026-08-25 23:00:00,23,0.0,0.97,-0.97
2026-08-26 00:00:00,0,0.0,0.81,-0.81
2026-08-26 01:00:00,1,0.0,0.91,-0.91
2026-08-26 02:00:00,2,0.0,1.02,-1.02
2026-08-26 03:00:00,3,0.0,1.05,-1.05
2026-08-26 04:00:00,4,0.0,0.9,-0.9
2026-08-26 05:00:00,5,0.0,0.86,-0.86
2026-08-26 06:00:00,6,0.0,2.98,-2.98
2026-08-26 07:00:00,7,1.11,2.17,-1.06
2026-08-26 08:00:00,8,1.95,2.02,-0.06
2026-08-26 09:00:00,9,3.44,2.12,1.33
2026-08-26 10:00:00,10,3.78,0.91,2.87
2026-08-26 11:00:00,11,4.18,1.06,3.12
2026-08-26 12:00:00,12,4.74,0.88,3.86
2026-08-26 13:00:00,13,3.4,0.85,2.54
2026-08-26 14:00:00,14,4.2,1.15,3.05
2026-08-26 15:00:00,15,3.11,1.04,2.07
2026-08-26 16:00:00,16,2.25,0.87,1.38
2026-08-26 17:00:00,17,1.26,0.97,0.29
2026-08-26 18:00:00,18,0.0,2.52,-2.52
2026-08-26 19:00:00,19,0.0,2.05,-2.05
2026-08-26 20:00:00,20,0.0,2.17,-2.17
2026-08-26 21:00:00,21,0.0,2.74,-2.74
2026-08-26 22:00:00,22,0.0,2.08,-2.08
2026-08-26 23:00:00,23,0.0,1.04,-1.04
2026-08-27 00:00:00,0,0.0,0.9,-0.9
2026-08-27 01:00:00,1,0.0,0.96,-0.96
2026-08-27 02:00:00,2,0.0,0.92,-0.92
2026-08-27 03:00:00,3,0.0,0.94,-0.94
2026-08-27 04:00:00,4,0.0,1.09,-1.09
2026-08-27 05:00:00,5,0.0,0.92,-0.92
2026-08-27 06:00:00,6,0.0,2.48,-2.48
2026-08-27 07:00:00,7,1.16,2.94,-1.77
2026-08-27 08:00:00,8,2.3,2.21,0.08
2026-08-27 09:00:00,9,2.51,2.26,0.25
2026-08-27 10:00:00,10,3.8,0.82,2.98
2026-08-27 11:00:00,11,4.1,1.04,3.06
2026-08-27 12:00:00,12,4.0,1.11,2.89
2026-08-27 13:00:00,13,3.54,0.83,2.71
2026-08-27 14:00:00,14,3.98,1.0,2.98
2026-08-27 15:00:00,15,3.21,0.97,2.23
2026-08-27 16:00:00,16,1.93,1.13,0.81
2026-08-27 17:00:00,17,1.22,1.08,0.14
2026-08-27 18:00:00,18,0.0,2.59,-2.59
2026-08-27 19:00:00,19,0.0,2.36,-2.36
2026-08-27 20:00:00,20,0.0,2.09,-2.09
2026-08-27 21:00:00,21,0.0,2.92,-2.92
2026-08-27 22:00:00,22,0.0,2.14,-2.14
2026-08-27 23:00:00,23,0.0,1.18,-1.18
2026-08-28 00:00:00,0,0.0,0.98,-0.98
2026-08-28 01:00:00,1,0.0,0.87,-0.87
2026-08-28 02:00:00,2,0.0,1.02,-1.02
2026-08-28 03:00:00,3,0.0,1.15,-1.15
2026-08-28 04:00:00,4,0.0,1.09,-1.09
2026-08-28 05:00:00,5,0.0,1.12,-1.12
2026-08-28 06:00:00,6,0.0,2.69,-2.69
2026-08-28 07:00:00,7,1.24,2.25,-1.01
2026-08-28 08:00:00,8,2.12,2.22,-0.1
2026-08-28 09:00:00,9,3.52,2.94,0.58
2026-08-28 10:00:00,10,3.08,1.08,2.0
2026-08-28 11:00:00,11,4.72,0.87,3.85
2026-08-28 12:00:00,12,4.35,1.17,3.19
2026-08-28 13:00:00,13,3.43,1.08,2.35
2026-08-28 14:00:00,14,3.42,1.17,2.25
2026-08-28 15:00:00,15,3.5,1.18,2.33
2026-08-28 16:00:00,16,2.11,1.14,0.96
2026-08-28 17:00:00,17,1.23,0.93,0.31
2026-08-28 18:00:00,18,0.0,2.04,-2.04
2026-08-28 19:00:00,19,0.0,2.6,-2.6
2026-08-28 20:00:00,20,0.0,2.23,-2.23
2026-08-28 21:00:00,21,0.0,2.12,-2.12
2026-08-28 22:00:00,22,0.0,2.08,-2.08
2026-08-28 23:00:00,23,0.0,1.08,-1.08
2026-08-29 00:00:00,0,0.0,0.94,-0.94
2026-08-29 01:00:00,1,0.0,1.09,-1.09
2026-08-29 02:00:00,2,0.0,0.83,-0.83
2026-08-29 03:00:00,3,0.0,0.93,-0.93
2026-08-29 04:00:00,4,0.0,1.02,-1.02
2026-08-29 05:00:00,5,0.0,1.12,-1.12
2026-08-29 06:00:00,6,0.0,2.63,-2.63
2026-08-29 07:00:00,7,1.25,2.62,-1.37
2026-08-29 08:00:00,8,1.92,2.02,-0.1
2026-08-29 09:00:00,9,3.4,2.02,1.38
2026-08-29 10:00:00,10,4.17,1.01,3.16
2026-08-29 11:00:00,11,4.74,1.12,3.62
2026-08-29 12:00:00,12,5.0,0.94,4.06
2026-08-29 13:00:00,13,4.49,0.96,3.53
2026-08-29 14:00:00,14,3.65,1.05,2.6
2026-08-29 15:00:00,15,3.4,1.19,2.21
2026-08-29 16:00:00,16,2.33,0.97,1.36
2026-08-29 17:00:00,17,1.07,1.1,-0.03
2026-08-29 18:00:00,18,0.0,2.11,-2.11
2026-08-29 19:00:00,19,0.0,2.35,-2.35
2026-08-29 20:00:00,20,0.0,2.29,-2.29
2026-08-29 21:00:00,21,0.0,2.3,-2.3
2026-08-29 22:00:00,22,0.0,2.23,-2.23
2026-08-29 23:00:00,23,0.0,0.82,-0.82
2026-08-30 00:00:00,0,0.0,0.81,-0.81
2026-08-30 01:00:00,1,0.0,1.2,-1.2
2026-08-30 02:00:00,2,0.0,0.97,-0.97
2026-08-30 03:00:00,3,0.0,0.95,-0.95
2026-08-30 04:00:00,4,0.0,1.07,-1.07
2026-08-30 05:00:00,5,0.0,0.89,-0.89
2026-08-30 06:00:00,6,0.0,2.79,-2.79
2026-08-30 07:00:00,7,0.94,2.42,-1.48
2026-08-30 08:00:00,8,2.41,2.94,-0.54
2026-08-30 09:00:00,9,2.97,2.61,0.36
2026-08-30 10:00:00,10,3.25,1.2,2.05
2026-08-30 11:00:00,11,3.72,1.18,2.54
2026-08-30 12:00:00,12,4.47,1.04,3.43
2026-08-30 13:00:00,13,4.12,0.89,3.23
2026-08-30 14:00:00,14,3.26,0.89,2.37
2026-08-30 15:00:00,15,2.67,1.11,1.56
2026-08-30 16:00:00,16,2.01,0.82,1.19
2026-08-30 17:00:00,17,1.28,1.15,0.13
2026-08-30 18:00:00,18,0.0,2.99,-2.99
2026-08-30 19:00:00,19,0.0,2.17,-2.17
2026-08-30 20:00:00,20,0.0,2.4,-2.4
2026-08-30 21:00:00,21,0.0,2.76,-2.76
2026-08-30 22:00:00,22,0.0,2.7,-2.7
2026-08-30 23:00:00,23,0.0,0.86,-0.86
